=== PROJECT PRICING DEBUG ===
Project,"Banyan's Sliding Door"
Status,"APPROVED"

=== PRICING MODE ===
Name,"Default (Hybrid)"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: Fixed End Panel (4") (Panel 957) ---
Dimensions,"37.125" W x 95.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,Unit Cost,Finish Cost,Total Cost,Method,Details,Finish Details
"JAMB-KIT-BOX","Jamb Kit Box","Packaging","","",1,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"MS-BX-38-84X120-DW","Fixed Panel and Door Box","Packaging","","",1,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",4,$0.43,$0.00,$1.73,"bom_formula","Formula: height - 9 → 95.625 - 9 = 86.63 × $0.005/IN × 4 qty = $1.73",""
"48447","Glass Stop (Face)","Extrusion","99in","85.25in",2,$3.04,$6.27,$12.35,"extrusion_hybrid_split","Cut 85.25"" from 99"" stock (86.1% used) | Piece price: $3.04 | Used: 86.1% × $3.04 × 2 = $5.24 (gets markup) | Remaining: 13.9% × $3.04 × 2 = $0.84 (no markup) | Material total: $6.08","Black (Powder Coated) (full stock): 0.305' perim × 8.25' = 2.52 sq ft × $1.245/sq ft × 2 = $6.27"
"48447","Glass Stop (Face)","Extrusion","75in","32.13in",2,$0.99,$2.03,$4.01,"extrusion_hybrid_percentage","Cut 32.13"" from 75"" stock (42.8% used, <50%) | Piece price: $2.30 | Calc: 42.8% × $2.30 × 2 qty = $1.97","Black (Powder Coated) (cut length): 0.305' perim × 2.68' = 0.82 sq ft × $1.245/sq ft × 2 = $2.03"
"48448","Glass Stop (Gutter)","Extrusion","102in","32.13in",2,$1.83,$3.63,$7.29,"extrusion_hybrid_percentage","Cut 32.13"" from 102"" stock (31.5% used, <50%) | Piece price: $5.81 | Calc: 31.5% × $5.81 × 2 qty = $3.66","Black (Powder Coated) (cut length): 0.544' perim × 2.68' = 1.46 sq ft × $1.245/sq ft × 2 = $3.63"
"48450","4"" Web Rail Shallow","Extrusion","102in","32.13in",1,$16.32,$0.00,$16.32,"extrusion_hybrid_percentage","Cut 32.13"" from 102"" stock (31.5% used, <50%) | Piece price: $51.81 | Calc: 31.5% × $51.81 × 1 qty = $16.32","Black (Powder Coated): No perimeter defined, finish cost = $0.00"
"48601","Sliding Door Seal","Extrusion","99in","97.63in",1,$5.52,$5.38,$10.90,"extrusion_hybrid_split","Cut 97.63"" from 99"" stock (98.6% used) | Piece price: $5.52 | Used: 98.6% × $5.52 × 1 = $5.44 (gets markup) | Remaining: 1.4% × $5.52 × 1 = $0.08 (no markup) | Material total: $5.52","Black (Powder Coated) (full stock): 0.524' perim × 8.25' = 4.32 sq ft × $1.245/sq ft × 1 = $5.38"
"48351","Dovetail","Extrusion","99in","94.25in",1,$17.57,$5.41,$22.98,"extrusion_hybrid_split","Cut 94.25"" from 99"" stock (95.2% used) | Piece price: $17.57 | Used: 95.2% × $17.57 × 1 = $16.73 (gets markup) | Remaining: 4.8% × $17.57 × 1 = $0.84 (no markup) | Material total: $17.57","Black (Powder Coated) (full stock): 0.527' perim × 8.25' = 4.35 sq ft × $1.245/sq ft × 1 = $5.41"
"AD-LUG-1.04-FG","Door Lug (1.04)","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"48448","Glass Stop (Gutter)","Extrusion","102in","85.25in",2,$5.81,$11.51,$23.13,"extrusion_hybrid_split","Cut 85.25"" from 102"" stock (83.6% used) | Piece price: $5.81 | Used: 83.6% × $5.81 × 2 = $9.71 (gets markup) | Remaining: 16.4% × $5.81 × 2 = $1.91 (no markup) | Material total: $11.62","Black (Powder Coated) (full stock): 0.544' perim × 8.50' = 4.62 sq ft × $1.245/sq ft × 2 = $11.51"
"E-12303","Flat Stock Trim","Extrusion","123in","38.25in",2,$4.27,$3.45,$11.99,"extrusion_hybrid_percentage","Cut 38.25"" from 123"" stock (31.1% used, <50%) | Piece price: $13.72 | Calc: 31.1% × $13.72 × 2 qty = $8.53","Black (Powder Coated) (cut length): 0.435' perim × 3.19' = 1.39 sq ft × $1.245/sq ft × 2 = $3.45"
"48349","U-Channel Shallow","Extrusion","78in","37.13in",1,$5.30,$2.13,$7.43,"extrusion_hybrid_percentage","Cut 37.13"" from 78"" stock (47.6% used, <50%) | Piece price: $11.14 | Calc: 47.6% × $11.14 × 1 qty = $5.30","Black (Powder Coated) (cut length): 0.552' perim × 3.09' = 1.71 sq ft × $1.245/sq ft × 1 = $2.13"
"DR-ASD-BUMBS35","Black Bumper","Hardware","","",10,$0.06,$0.00,$0.59,"master_part_hardware","Hardware cost: $0.0594 × 10",""
"E-12307H","4"" ThinWall Web Rail","Extrusion","102in","32.13in",1,$16.17,$6.12,$22.30,"extrusion_hybrid_percentage","Cut 32.13"" from 102"" stock (31.5% used, <50%) | Piece price: $51.35 | Calc: 31.5% × $51.35 × 1 qty = $16.17","Black (Powder Coated) (cut length): 1.837' perim × 2.68' = 4.92 sq ft × $1.245/sq ft × 1 = $6.12"
"48468","4"" Fixed Back Stile","Extrusion","99in","94.25in",1,$54.00,$21.27,$75.28,"extrusion_hybrid_split","Cut 94.25"" from 99"" stock (95.2% used) | Piece price: $54.00 | Used: 95.2% × $54.00 × 1 = $51.41 (gets markup) | Remaining: 4.8% × $54.00 × 1 = $2.59 (no markup) | Material total: $54.00","Black (Powder Coated) (full stock): 2.071' perim × 8.25' = 17.09 sq ft × $1.245/sq ft × 1 = $21.27"
"E-12304","Thinwall U-Channel","Extrusion","78in","37.13in",1,$10.29,$4.05,$14.34,"extrusion_hybrid_percentage","Cut 37.13"" from 78"" stock (47.6% used, <50%) | Piece price: $21.61 | Calc: 47.6% × $21.61 × 1 qty = $10.29","Black (Powder Coated) (cut length): 1.052' perim × 3.09' = 3.25 sq ft × $1.245/sq ft × 1 = $4.05"
"DR-ASD-TUBS071","3/8-24 Locking Nut","Hardware","","",4,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"AD-LUG-3.20-FG","Door Lug (3.20)","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-NUT1512","Hex Head Screw","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware","","",1,$0.62,$0.00,$0.62,"master_part_hardware","Hardware cost: $0.6186 × 1",""
"MS-BX-38-84X120-DW","Fixed Panel and Door Box","Packaging","","",1,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-BLT-FAS2060","Lag Bolt","Fastener","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-N&B-FAS3004","Flat Washer","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-NUT884","HexSleeve Anchor","Fastener","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"RM-PUCK-BRKT","Roller Guide Bracket 12g Steel","Hardware","","",1,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-STD-MCMA604","M5x15mm Press-Fit Stud","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","CutStock","72in","36.63in",2,$6.00,$0.00,$12.00,"extrusion_hybrid_split","Cut 36.63"" from 72"" stock (50.9% used) | Piece price: $6.00 | Used: 50.9% × $6.00 × 2 = $6.10 (gets markup) | Remaining: 49.1% × $6.00 × 2 = $5.90 (no markup) | Material total: $12.00",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",4,$0.16,$0.00,$0.64,"bom_formula","Formula: Width - 5 → 37.125 - 5 = 32.13 × $0.005/IN × 4 qty = $0.64",""

OPTION ITEMS
Category,Option Name,Part Number,Quantity,Unit Price,Total Price,Method,Details,Is Standard,Is Included
"Starter Channel","Starter Channel","E-12306",1,$10.16,$18.34,"extrusion_hybrid_split","Cut 96.13"" from 123"" stock (78.2% used) | Piece price: $10.16 | Used: 78.2% × $10.16 × 1 = $7.94 (gets markup) | Remaining: 21.8% × $10.16 × 1 = $2.22 (no markup) | Material total: $10.16",No,No

GLASS
Glass Type,Width Formula,Height Formula,Calc Width,Calc Height,Qty,Sqft,Price/Sqft,Total Cost
"Clear 1/4" Tempered Glass","width -8","height -10",29.125,85.625,1,17.32,$4.00,$69.27

Component BOM Total,$243.90
Component Options Total,$18.34
Component Glass Total,$69.27

--- Component: Active Sliding Door (Panel 955) ---
Dimensions,"39.875" W x 95.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,Unit Cost,Finish Cost,Total Cost,Method,Details,Finish Details
"48420","Whisker Strip","Extrusion","78in","39.75in",2,$3.37,$6.74,$13.49,"extrusion_hybrid_split","Cut 39.75"" from 78"" stock (51.0% used) | Piece price: $3.37 | Used: 51.0% × $3.37 × 2 = $3.44 (gets markup) | Remaining: 49.0% × $3.37 × 2 = $3.31 (no markup) | Material total: $6.75","Black (Powder Coated) (full stock): 0.417' perim × 6.50' = 2.71 sq ft × $1.245/sq ft × 2 = $6.74"
"48447","Glass Stop (Face)","Extrusion","75in","31.38in",2,$0.96,$1.99,$3.91,"extrusion_hybrid_percentage","Cut 31.38"" from 75"" stock (41.8% used, <50%) | Piece price: $2.30 | Calc: 41.8% × $2.30 × 2 qty = $1.93","Black (Powder Coated) (cut length): 0.305' perim × 2.61' = 0.80 sq ft × $1.245/sq ft × 2 = $1.99"
"E-12305H","2"" ThinWall Web Rail","Extrusion","106in","31.38in",1,$11.17,$4.23,$15.40,"extrusion_hybrid_percentage","Cut 31.38"" from 106"" stock (29.6% used, <50%) | Piece price: $37.75 | Calc: 29.6% × $37.75 × 1 qty = $11.17","Black (Powder Coated) (cut length): 1.298' perim × 2.61' = 3.39 sq ft × $1.245/sq ft × 1 = $4.23"
