=== PROJECT PRICING DEBUG ===
Project,"Example Project"
Status,"STAGING"

=== PRICING MODE ===
Name,"Hybrid"
Extrusion Markup,300%
Hardware Markup,100%
Glass Markup,100%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: ThinWall - Active Door (Panel 639) ---
Dimensions,"45" W x 84" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"48446","Web Rail-Deep","Extrusion",1,$19.34,$19.34,"extrusion_hybrid_percentage","Hybrid (<50% used): 38.1% of stock × $50.74 × 1"
"E-12305H","Web Rail","Extrusion",1,$13.84,$13.84,"extrusion_hybrid_percentage","Hybrid (<50% used): 36.7% of stock × $37.75 × 1"
"48420","Whisker Strip","Extrusion",2,$3.37,$6.75,"extrusion_hybrid_split","Hybrid (≥50% used): 57.5% used ($3.88 at markup) + 42.5% remaining ($2.87 at cost)"
"E-12154","Door Stop","Extrusion",1,$0.00,$0.00,"no_cost_found","No pricing method found"
"HW-LCK-MORLS08-LB","Hook Bolt Lock Set","Hardware",1,$3.98,$3.98,"direct_bom_cost","Direct cost from ProductBOM: $3.98 × 1"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","Hardware",2,$5.95,$11.90,"direct_bom_cost","Direct cost from ProductBOM: $5.95 × 2"
"AD-LUG-1.55-FG","ThinWall Sliding Door Lug 1.55","Hardware",2,$0.01,$0.02,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 2"
"AD-LUG-1.94-FG","Small Door Lug 1.94","Hardware",2,$0.15,$0.30,"direct_bom_cost","Direct cost from ProductBOM: $0.14926 × 2"
"AD-SWG-SHIM-FG","Extra-Wide Shim Jack","Hardware",3,$0.01,$0.03,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 3"
"DR-ASD-BUMBS35","Black Bumper","Hardware",9,$0.06,$0.53,"direct_bom_cost","Direct cost from ProductBOM: $0.0594 × 9"
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware",6,$0.62,$3.71,"direct_bom_cost","Direct cost from ProductBOM: $0.6186 × 6"
"DR-ASD-ULTQTST","Swing Door Pile","Hardware",7,$0.15,$1.04,"direct_bom_cost","Direct cost from ProductBOM: $0.14828 × 7"
"DR-ASD-TUB013D","Lock Stile Pile","Hardware",6,$0.35,$2.11,"direct_bom_cost","Direct cost from ProductBOM: $0.35181 × 6"
"HW-ADR-ALB1600","Soft-Close Roller Kit","Hardware",1,$26.70,$26.70,"direct_bom_cost","Direct cost from ProductBOM: $26.7 × 1"
"RM-PUCK-BRKT","Roller Guide Bracket 12g Steel","Hardware",1,$0.01,$0.01,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 1"
"HW-ROLL-BUL105","MR105 Mini V Wheel Assembly","Hardware",1,$0.66,$0.66,"direct_bom_cost","Direct cost from ProductBOM: $0.66 × 1"
