=== PROJECT PRICING DEBUG ===
Project,"Resedential"
Status,"STAGING"

=== PRICING MODE ===
Name,"Percentage"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"PERCENTAGE_BASED"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: ThinWall - Active Door (Panel 862) ---
Dimensions,"45" W x 82.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"48420","Whisker Strip","Extrusion",2,$3.37,$22.93,"extrusion_full_stock","Full stock: 78"" @ $3.37 × 2 (cut length: 44.88"")"
"48447","Glass Stop (Face)","Extrusion",2,$1.12,$9.82,"extrusion_percentage_based","Percentage-based: 35.78% of 102"" stock × $3.13 × 2"
"E-12305H","2"" ThinWall Web Rail","Extrusion",1,$13.00,$16.78,"extrusion_percentage_based","Percentage-based: 34.43% of 106"" stock × $37.75 × 1"
"48448","Glass Stop (Gutter)","Extrusion",2,$5.81,$32.79,"extrusion_full_stock","Full stock: 102"" @ $5.81 × 2 (cut length: 72.25"")"
"48448","Glass Stop (Gutter)","Extrusion",2,$2.08,$11.73,"extrusion_percentage_based","Percentage-based: 35.78% of 102"" stock × $5.81 × 2"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","Hardware",2,$5.95,$11.90,"direct_bom_cost","Direct cost from ProductBOM: $5.95 × 2"
"AD-SWG-SHIM-FG","Extra-Wide Shim Jack","Hardware",3,$0.01,$0.03,"direct_bom_cost","Direct cost from ProductBOM: $0.01 × 3"
"DR-ASD-BUMBS35","Black Bumper","Hardware",9,$0.06,$0.53,"direct_bom_cost","Direct cost from ProductBOM: $0.0594 × 9"
"HW-STD-MCMA604","M5x15mm Press-Fit Stud","Hardware",2,$0.46,$0.92,"direct_bom_cost","Direct cost from ProductBOM: $0.4612 × 2"
"HW-ROLL-BUL105","MR105 Mini V Wheel Assembly","Hardware",1,$0.66,$0.66,"direct_bom_cost","Direct cost from ProductBOM: $0.66 × 1"
"HW-PLT-ALB0105","Albatur Suspension Plate","Hardware",2,$0.40,$0.80,"direct_bom_cost","Direct cost from ProductBOM: $0.4 × 2"
"DR-ASD-TUBS071","3/8-24 Locking Nut","Hardware",4,$0.13,$0.52,"direct_bom_cost","Direct cost from ProductBOM: $0.13 × 4"
"DR-ASD-NUT6360","1/4-20 Threaded Rivnut Insert","Hardware",3,$0.14,$0.41,"direct_bom_cost","Direct cost from ProductBOM: $0.137 × 3"
