=== PROJECT PRICING DEBUG ===
Project,"Banyan's Sliding Door"
Status,"APPROVED"

=== PRICING MODE ===
Name,"Default (Hybrid)"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: Fixed End Panel (4") (Panel 957) ---
Dimensions,"37.125" W x 95.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Quantity,Unit Cost,Total Cost,Method,Details
"E-12306","ThinWall Starter Channel","Extrusion",1,$10.16,$22.92,"extrusion_hybrid_split","Cut 97.63"" from 123"" stock (79.4% used) | Piece price: $10.16 | Used: 79.4% × $10.16 × 1 = $8.07 (gets markup) | Remaining: 20.6% × $10.16 × 1 = $2.10 (no markup) | Material total: $10.16"
"JAMB-KIT-BOX","Jamb Kit Box","Packaging",1,$0.00,$0.00,"no_cost_found","No pricing method found"
"MS-BX-38-84X120-DW","Fixed Panel and Door Box","Packaging",1,$0.00,$0.00,"no_cost_found","No pricing method found"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware",4,$0.43,$1.73,"bom_formula","Formula: height - 9 → 95.625 - 9 = 86.63 × $0.005/IN × 4 qty = $1.73"
"48447","Glass Stop (Face)","Extrusion",2,$3.04,$26.63,"extrusion_hybrid_split","Cut 85.25"" from 99"" stock (86.1% used) | Piece price: $3.04 | Used: 86.1% × $3.04 × 2 = $5.24 (gets markup) | Remaining: 13.9% × $3.04 × 2 = $0.84 (no markup) | Material total: $6.08"
"48447","Glass Stop (Face)","Extrusion",2,$0.99,$8.64,"extrusion_hybrid_percentage","Cut 32.13"" from 99"" stock (32.4% used, <50%) | Piece price: $3.04 | Calc: 32.4% × $3.04 × 2 qty = $1.97"
"48448","Glass Stop (Gutter)","Extrusion",2,$1.83,$10.33,"extrusion_hybrid_percentage","Cut 32.13"" from 102"" stock (31.5% used, <50%) | Piece price: $5.81 | Calc: 31.5% × $5.81 × 2 qty = $3.66"
"48450","4"" Web Rail Shallow","Extrusion",1,$16.32,$19.65,"extrusion_hybrid_percentage","Cut 32.13"" from 102"" stock (31.5% used, <50%) | Piece price: $51.81 | Calc: 31.5% × $51.81 × 1 qty = $16.32"
"48601","Sliding Door Seal","Extrusion",1,$5.52,$15.79,"extrusion_hybrid_split","Cut 97.63"" from 99"" stock (98.6% used) | Piece price: $5.52 | Used: 98.6% × $5.52 × 1 = $5.44 (gets markup) | Remaining: 1.4% × $5.52 × 1 = $0.08 (no markup) | Material total: $5.52"
"48351","Dovetail","Extrusion",1,$17.57,$27.84,"extrusion_hybrid_split","Cut 94.25"" from 99"" stock (95.2% used) | Piece price: $17.57 | Used: 95.2% × $17.57 × 1 = $16.73 (gets markup) | Remaining: 4.8% × $17.57 × 1 = $0.84 (no markup) | Material total: $17.57"
"AD-LUG-1.04-FG","Door Lug (1.04)","Hardware",2,$0.00,$0.00,"no_cost_found","No pricing method found"
"48448","Glass Stop (Gutter)","Extrusion",2,$5.81,$32.79,"extrusion_hybrid_split","Cut 85.25"" from 102"" stock (83.6% used) | Piece price: $5.81 | Used: 83.6% × $5.81 × 2 = $9.71 (gets markup) | Remaining: 16.4% × $5.81 × 2 = $1.91 (no markup) | Material total: $11.62"
