"partNumber","baseName","description","unit","cost","partType","isOption","stockRule_minHeight","stockRule_maxHeight","stockRule_stockLength","stockRule_piecesPerUnit","stockRule_basePrice","stockRule_formula","pricingRule_basePrice","pricingRule_formula"
"AD-48347","Bottom Channel","","IN","","Extrusion","FALSE","1","152","152","1","30.19111","","",""
"AD-48349","Mounting Bottom Channel","","IN","","Extrusion","FALSE","1","75","78","1","12.29694","","",""
"AD-48351","Dovetail Stile","","IN","","Extrusion","FALSE","1","96","99","1","17.9791","","",""
"AD-48420","Thin 1.5 Trim","Whisker Strip","IN","","Extrusion","FALSE","1","242","242","1","21","","",""
"AD-48445","Fixed Back","","IN","","Extrusion","FALSE","1","96","99","1","50.79","","",""
"AD-48446","Bottom Rail","","IN","","Extrusion","FALSE","1","99","102","1","53.92671","","",""
"AD-48447","Glass Stop Face (Back)","","IN","","Extrusion","FALSE","1","74","76","1","4.69","","",""
"AD-48447","Glass Stop Face (Back)","","IN","","Extrusion","FALSE","75","96","89","1","5.57","","",""
"AD-48448","Glass Stop Gutter (Front)","","IN","","Extrusion","FALSE","1","74","76","1","8.6498","","",""
"AD-48448","Glass Stop Gutter (Front)","","IN","","Extrusion","FALSE","75","86","89","1","10.1294","","",""
"AD-48450","Fixed Bottom Rail","","IN","","Extrusion","FALSE","1","99","102","1","62.21","","",""
"AD-48466","Front Stile","","IN","","Extrusion","FALSE","1","96","99","1","58.3793","","",""
"AD-48468","Hinge Stile","","IN","","Extrusion","FALSE","1","96","99","1","75.43","","",""
"AD-48601","Sliding Door Seal","","IN","","Extrusion","FALSE","1","120","123","1","13.5953","","",""
"AD-E-11437H","Top Rail","","IN","","Extrusion","FALSE","1","85","87","1","63.92556","","",""
"AD-E-12154","ThinWall Door Stop","","IN","","Extrusion","FALSE","1","120","123","1","19.23583","","",""
"AD-E-12180H","90° Corner Piece","","IN","","Extrusion","FALSE","1","108","111","1","36.42833","","",""
"AD-E-12303","Fixed Panel Trim","","IN","","Extrusion","FALSE","1","239","242","1","4.2","","",""
"AD-E-12304","Mounting Top Channel","","IN","","Extrusion","FALSE","1","75","78","1","19.13","","",""
"AD-E-12306","Fixed Panel Starter Channel","","IN","","Extrusion","FALSE","1","120","123","1","13.0573","","",""
"AD-E-12307H","Fixed Top Rail","","IN","","Extrusion","FALSE","1","99","102","1","62.92545","","",""
"AD-E-12382H","Lock Stile","","IN","","Extrusion","FALSE","1","96","99","","1000","","",""
"DR-ASD-GRA-FGR9","3/8 Tie-Rod","","IN","","Extrusion","FALSE","1","120","120","1","7.04","","",""
"DR-ASD-OMA7920","3/8-24 Tie-Rod","","IN","","Extrusion","FALSE","1","120","120","1","5.7","","",""
"DR-ASD-TUB2669","10 Bottom Rail","","IN","","Extrusion","FALSE","1","120","120","1","399","","",""
"EXTURION","Door Stop","","IN","","Extrusion","FALSE","1","99","99","1","25","","",""
"EXTURION","Door Stop","","IN","","Extrusion","FALSE","100","200","200","1","50","","",""
"AD-ACC-TRK-CAP","Roller Track Cap","","EA","0.01","Hardware","FALSE","","","","","","","",""
"AD-LUG-1.04-FG","Door Lug 1.04","","EA","0.1023","Hardware","FALSE","","","","","","","",""
"AD-LUG-1.30-FG","Small Door Lug 1.3","","EA","0.15","Hardware","FALSE","","","","","","","",""
"AD-LUG-1.94-FG","SMALL DOOR LUG 1.94 INCHES LONG","","EA","0.14926","Hardware","FALSE","","","","","","","",""
"AD-LUG-3.04-FG","LARGE DOOR LUG 3.04 INCHES LONG","","EA","0.23013","Hardware","FALSE","","","","","","","",""
"AD-LUG-3.20-FG","Medium Door Lug 3.20","","EA","0.25841","Hardware","FALSE","","","","","","","",""
"AD-LUG-7.75-FG","Large Door Lug 7.75","","EA","0.5524","Hardware","FALSE","","","","","","","",""
"AD-SWG-SHIM-FG","Shim Jack X-wide ThinWall Swing Dr","","EA","5.74285","Hardware","FALSE","","","","","","","",""
"AD-TW-PNL-CONCTR","Panel Clips","","EA","0.11","Hardware","FALSE","","","","","","","",""
"DR-ASD-BUMBS35","Black Bumper for 1/4 Glass BS-35","","EA","0.0594","Hardware","FALSE","","","","","","","",""
"DR-ASD-NUT1512","#10 x 3/4 Self-Tapping Hex Head Screw","","EA","0.055","Hardware","FALSE","","","","","","","",""
"DR-ASD-NUT2310","Screw 1/4-20x3/4 Slider Bttm Chnnl","","EA","0.0325","Hardware","FALSE","","","","","","","",""
"DR-ASD-NUT2641","(ALU) Screw","Pan Head","EA","0.01","Hardware","FALSE","","","","","","","",""
"DR-ASD-NUT884","3/8 x 1-7/8 Floor Anchor Bolt","","EA","0.3902","Hardware","FALSE","","","","","","","",""
"DR-ASD-OMA2510-BL","Hager Passage Handle","Non-Locking","EA","90","Hardware","FALSE","","","","","","","",""
"DR-ASD-OWL7060-BLK","Hager Locking Handle","Locking","EA","90","Hardware","FALSE","","","","","","","",""
"DR-ASD-OWL7181-BLK","Black ADA Thumb Turn for Slider Dr","","EA","12","Hardware","FALSE","","","","","","","",""
"DR-ASD-OWL861Q-BLK","ILC 861Q-29-10 3/8 BLACK RING","","EA","1.95","Hardware","FALSE","","","","","","","",""
"DR-ASD-TUB013D","Lock Stile Pile","","EA","0.35181","Hardware","FALSE","","","","","","","",""
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","","EA","5.95","Hardware","FALSE","","","","","","","",""
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","","EA","0.11","Hardware","FALSE","","","","","","","",""
"DR-ASD-TUBP938","Trim Sweep Pile","","EA","0.6186","Hardware","FALSE","","","","","","","",""
"DR-ASD-TUBS071","3/8-24 Locking Nut","","EA","0.13","Hardware","FALSE","","","","","","","",""
"DR-ASD-ULTQTST","Swing Door Pile w/o Plastic Fin","","EA","0.14828","Hardware","FALSE","","","","","","","",""
"HW-ADR-ALB1600","Soft-Close Roller Kit","2-Way Soft-Close","EA","26.7","Hardware","FALSE","","","","","","","",""
"HW-BLT-FAS2060","1/4-10 x 1-3/4 Hex Head Lag Bolt","","EA","0.11","Hardware","FALSE","","","","","","","",""
"HW-CLSR-FRT1306","FS-1306B Swing Door Closer Black","","EA","39.95","Hardware","TRUE","","","","","","","",""
"HW-CLSR-FRT1306s","FS-1306B Swing Door Closer Silver","","EA","36.05","Hardware","TRUE","","","","","","","",""
"HW-CSD-FAIR3275","1/4 PE Foam Gasket 32.75L","","EA","0.186","Hardware","FALSE","","","","","","","",""
"HW-CSD-FAIR7375","1/4 PE Foam Gasket 73.75L","","EA","0.419","Hardware","FALSE","","","","","","","",""
"HW-HNDL-MORH4918-BLK","18 Ladder Handle","Morwin","EA","19","Hardware","FALSE","","","","","","","",""
"HW-HNG-MORH025-BLK","Concealed Hinge Black MornWin CH025","","EA","11.88","Hardware","FALSE","","","","","","","",""
"HW-LCK-MORLS08-FP-BLK","Sliding Door Lock Face Plate Black","","EA","0.8","Hardware","FALSE","","","","","","","",""
"HW-LCK-MORLS08-LB","Hook Bolt Lock Set","","EA","3.98","Hardware","FALSE","","","","","","","",""
"HW-LCK-MORMH36-BLK","Lock Cylinder Housing/Spacer","","EA","5.9","Hardware","FALSE","","","","","","","",""
"HW-N&B-FAS3004","1/4 x 0.734 OD Zinc Flat Washer","","EA","0.0374","Hardware","FALSE","","","","","","","",""
"HW-N&B-FAS9152","3/8-16 Flange Hex Nut","","EA","0.2502","Hardware","FALSE","","","","","","","",""
"HW-PLG-13MM-BLK","13mm Hole Plug","","EA","0.11","Hardware","FALSE","","","","","","","",""
