# Combined Purchase Summary
# Projects: Verify-Comp-02-Single-B
# Generated: 2026-02-11

Part Number,Part Name,Type,Size (WxH),Pieces,Unit
"48352-BLA-123","2.5x3.5 Angle","Extrusion","104.750; 85.750","3","EA"
"48353-BLA","Sliding Door Jamb","Extrusion","96.250","1","EA"
"48357-BLA-91","Hinge Jamb","Extrusion","85.750","2","EA"
"48422-BLA-99","Snap Trim","Extrusion","98.750; 87.750","3","EA"
"48447-BLA-99","Glass Stop (Face)","Extrusion","88.000; 67.375","4","EA"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","88.000; 67.375","4","EA"
"48458-BLA-91","Trimmed Door Stop","Extrusion","84.376; 96.952","3","EA"
"48468-BLA-99","4"" Fixed Back Stile","Extrusion","83.375","1","EA"
"48558-MF-99","Pressure Plate","Extrusion","95.250; 87.250","3","EA"
"E-12382H-BLA-99","4"" Lock Stile","Extrusion","83.375","1","EA"
"E-12685H-BLA","5"" Swing Door Top and Bottom","Extrusion","88.000","3","EA"
"AD-SHIMBLK-FG","Block for Aluminum Install","Hardware","","6","EA"
"AD-SWING-THRSHLD-FG","Swing Door Threshold","Hardware","","101","IN"
"DR-ASD-BUMBS35","Black Bumper","Hardware","","7","EA"
"DR-ASD-OMA7920","Tie Rods 3/8-24 X 29-3/4","Hardware","","189","IN"
"DR-ASD-ULTQTST","Swing Door Pile","Hardware","","15","LF"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","756","IN"
"HW-HNG-MORH025","Door Hinge","Hardware","","2","EA"
"HW-SPR-MCMK221","4.5"" Zinc Spring","Hardware","","2","EA"
"GLASS-CLEAR","Clear Glass","Glass","88.000"" x 74.000""","1","EA"
"AD-LUG-3.04-FG","Door Lug (3.04)","Fastener","","2","EA"
"AD-LUG-8.00-FG","Door Lug (8.00"")","Fastener","","2","EA"
"AD-PASS-HAND","Passage Handle (Hager)","Option","","1","EA"
"DR-ASD-NUT1512","Hex Head Screw","Fastener","","20","EA"
"DR-ASD-NUT1527","Self-Tapping Hex Head Screw","Fastener","","3.97","EA"
"DR-ASD-NUT6360","1/4-20 Threaded Rivnut Insert","Fastener","","6","EA"
"DR-ASD-NUT8715","Flanged Hex Head Screw","Fastener","","22","EA"
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Fastener","","4","EA"
"DR-ASD-TUBS071","3/8-24 Locking Nut","Fastener","","4","EA"
