# Combined Purchase Summary
# Projects: Verify-Comp-03-Double-A
# Generated: 2026-02-11

Part Number,Part Name,Type,Size (WxH),Pieces,Unit
"48351-BLA-99","Dovetail","Extrusion","84.000","4","EA"
"48447-BLA-99","Glass Stop (Face)","Extrusion","96.000; 84.000","8","EA"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","96.000; 84.000","8","EA"
"48450-BLA-102","4"" Web Rail Shallow","Extrusion","96.000","2","EA"
"48601-BLA-99","Sliding Door Seal","Extrusion","84.000","2","EA"
"E-12303-BLA-123","Flat Stock Trim","Extrusion","96.000","4","EA"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","CutStock","96.000","4","EA"
"DR-ASD-BUMBS35","Black Bumper","Hardware","","18","EA"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","1512","IN"
"HW-ROLL-BUL105","MR105 Mini V Wheel Assembly","Hardware","","4","EA"
"RM-PUCK-BRKT","Roller Guide Bracket 12g Steel","Hardware","","2","EA"
"GLASS-CLEAR","Clear Glass","Glass","94.000"" x 74.000""","2","EA"
"AD-LUG-3.20-FG","Door Lug (3.20)","Fastener","","4","EA"
"door-box","Cardboard Box for Door","Packaging","","2","EA"
"DR-ASD-NUT1512","Hex Head Screw","Fastener","","4","EA"
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Fastener","","8","EA"
"HW-N&B-FAS9152","3/8-16 Locking Nut","Fastener","","8","EA"
"HW-SCR-MCMA491","Press-Fit Stud","Fastener","","8","EA"
