Part Number,Part Name,Type,Size (WxH),Pieces,Unit
"48351-BLA-99","Dovetail","Extrusion","84.000","4","EA"
"48352-BLA-123","2.5x3.5 Angle","Extrusion","104.750; 85.750","6","EA"
"48353-BLA","Sliding Door Jamb","Extrusion","96.250","2","EA"
"48357-BLA-91","Hinge Jamb","Extrusion","85.750","4","EA"
"48422-BLA-99","Snap Trim","Extrusion","98.750; 87.750","6","EA"
"48447-BLA-99","Glass Stop (Face)","Extrusion","96.000; 84.000; 88.000; 67.375","16","EA"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","96.000; 84.000; 88.000; 67.375","16","EA"
"48450-BLA-102","4"" Web Rail Shallow","Extrusion","96.000","2","EA"
"48458-BLA-91","Trimmed Door Stop","Extrusion","84.376; 96.952","6","EA"
"48468-BLA-99","4"" Fixed Back Stile","Extrusion","83.375","2","EA"
"48558-MF-99","Pressure Plate","Extrusion","95.250; 87.250","6","EA"
"48601-BLA-99","Sliding Door Seal","Extrusion","84.000","2","EA"
"E-12303-BLA-123","Flat Stock Trim","Extrusion","96.000","4","EA"
"E-12382H-BLA-99","4"" Lock Stile","Extrusion","83.375","2","EA"
"E-12685H-BLA","5"" Swing Door Top and Bottom","Extrusion","88.000","6","EA"
"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","CutStock","96.000","4","EA"
"AD-SHIMBLK-FG","Block for Aluminum Install","Hardware","","12","EA"
"AD-SWING-THRSHLD-FG","Swing Door Threshold","Hardware","","202","IN"
"DR-ASD-BUMBS35","Black Bumper","Hardware","","32","EA"
"DR-ASD-OMA7920","Tie Rods 3/8-24 X 29-3/4","Hardware","","377","IN"
"DR-ASD-ULTQTST","Swing Door Pile","Hardware","","30","LF"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","3024","IN"
"HW-HNG-MORH025","Door Hinge","Hardware","","4","EA"
"HW-ROLL-BUL105","MR105 Mini V Wheel Assembly","Hardware","","4","EA"
"HW-SPR-MCMK221","4.5"" Zinc Spring","Hardware","","4","EA"
"RM-PUCK-BRKT-L","Roller Guide Bracket 12g Steel","Hardware","","2","EA"
"GLASS-CLEAR","Clear Glass","Glass","94.000"" x 74.000""","2","EA"
"GLASS-CLEAR","Clear Glass","Glass","88.000"" x 74.000""","2","EA"
"AD-LUG-3.04-FG","Door Lug (3.04)","Fastener","","4","EA"
"AD-LUG-3.20-FG","Door Lug (3.20)","Fastener","","4","EA"
"AD-LUG-8.00-FG","Door Lug (8.00"")","Fastener","","4","EA"
"AD-PASS-HAND-BLA","Passage Handle (Hager)","Option","","2","EA"
"door-box","Cardboard Box for Door","Packaging","","2","EA"
"DR-ASD-NUT1512","Hex Head Screw","Fastener","","44","EA"
"DR-ASD-NUT1527","Self-Tapping Hex Head Screw","Fastener","","7.94","EA"
"DR-ASD-NUT6360","1/4-20 Threaded Rivnut Insert","Fastener","","12","EA"
"DR-ASD-NUT8715","Flanged Hex Head Screw","Fastener","","44","EA"
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Fastener","","16","EA"
"DR-ASD-TUBS071","3/8-24 Locking Nut","Fastener","","8","EA"
"HW-N&B-FAS9152","3/8-16 Locking Nut","Fastener","","8","EA"
"HW-SCR-MCMA491","Press-Fit Stud","Fastener","","8","EA"
