Test,Description,Status,Expected,Actual,Difference,Notes
Cross-Report [Verify-Comp-01-Single-A] - Opening Totals → Subtotal Base,Sum of opening base totals should equal project subtotal base,PASS,$243.37,$243.37,$0.00,
Cross-Report [Verify-Comp-01-Single-A] - Opening Totals → Subtotal Marked Up,Sum of opening marked-up totals should equal project subtotal marked up,PASS,$886.28,$886.28,$0.00,
Cross-Report [Verify-Comp-01-Single-A] - Pricing-Debug vs BOM Quantities,Pricing-debug BOM item quantities should match BOM CSV pieces (by base part number),INFO,17 parts matching,1 mismatches out of 17,1,"FOAM-GASKET-ROLL: pricing-debug qty=8, BOM pieces=756; GLASS-CLEAR: in BOM (pieces=1) but not in pricing-debug BOM ITEMS"
Cross-Report [Verify-Comp-01-Single-A] - BOM vs Purchasing Summary,BOM CSV pieces should match Purchasing Summary pieces per part,PASS,18 parts matching,0 mismatches out of 18,0,
Cross-Report [Verify-Comp-01-Single-A] - Grand Total Consistency,Grand total should equal subtotal marked up + installation,PASS,$886.28,$886.28,$0.00,
Cross-Report [Verify-Comp-02-Single-B] - Opening Totals → Subtotal Base,Sum of opening base totals should equal project subtotal base,PASS,$888.88,$888.88,$0.00,
Cross-Report [Verify-Comp-02-Single-B] - Opening Totals → Subtotal Marked Up,Sum of opening marked-up totals should equal project subtotal marked up,PASS,$3018.45,$3018.45,$0.00,
Cross-Report [Verify-Comp-02-Single-B] - Pricing-Debug vs BOM Quantities,Pricing-debug BOM item quantities should match BOM CSV pieces (by base part number),INFO,27 parts matching,4 mismatches out of 27,4,"FOAM-GASKET-ROLL: pricing-debug qty=8, BOM pieces=756; DR-ASD-OMA7920: pricing-debug qty=2, BOM pieces=189; 48558-MF: in pricing-debug (qty=3) but not in BOM; DR-ASD-ULTQTST: pricing-debug qty=2, BOM pieces=15; AD-SWING-THRSHLD-FG: pricing-debug qty=1, BOM pieces=101"
Cross-Report [Verify-Comp-02-Single-B] - BOM vs Purchasing Summary,BOM CSV pieces should match Purchasing Summary pieces per part,PASS,29 parts matching,0 mismatches out of 29,0,
Cross-Report [Verify-Comp-02-Single-B] - Grand Total Consistency,Grand total should equal subtotal marked up + installation,PASS,$3018.45,$3018.45,$0.00,
Cross-Report [Verify-Comp-03-Double-A] - Opening Totals → Subtotal Base,Sum of opening base totals should equal project subtotal base,PASS,$486.75,$486.74,$0.01,
Cross-Report [Verify-Comp-03-Double-A] - Opening Totals → Subtotal Marked Up,Sum of opening marked-up totals should equal project subtotal marked up,PASS,$1772.56,$1772.56,$0.00,
Cross-Report [Verify-Comp-03-Double-A] - Pricing-Debug vs BOM Quantities,Pricing-debug BOM item quantities should match BOM CSV pieces (by base part number),INFO,17 parts matching,1 mismatches out of 17,1,"FOAM-GASKET-ROLL: pricing-debug qty=16, BOM pieces=1512; GLASS-CLEAR: in BOM (pieces=2) but not in pricing-debug BOM ITEMS"
Cross-Report [Verify-Comp-03-Double-A] - BOM vs Purchasing Summary,BOM CSV pieces should match Purchasing Summary pieces per part,PASS,18 parts matching,0 mismatches out of 18,0,
Cross-Report [Verify-Comp-03-Double-A] - Grand Total Consistency,Grand total should equal subtotal marked up + installation,PASS,$1772.56,$1772.56,$0.00,
Cross-Report [Verify-Comp-04-Double-B] - Opening Totals → Subtotal Base,Sum of opening base totals should equal project subtotal base,PASS,$1777.76,$1777.76,$0.00,
Cross-Report [Verify-Comp-04-Double-B] - Opening Totals → Subtotal Marked Up,Sum of opening marked-up totals should equal project subtotal marked up,PASS,$6036.89,$6036.90,$0.01,
