# Combined Purchase Summary
# Projects: Verify-02-Single-B
# Generated: 2026-02-11

Part Number,Part Name,Type,Size (WxH),Pieces,Unit
"48445-BLA-99","2"" Fixed Back Stile","Extrusion","84.000; 40.000","3","EA"
"48447-BLA-75","Glass Stop (Face)","Extrusion","65.000; 26.875","3","EA"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","26.875; 65.000","2","EA"
"48468-BLA-99","4"" Fixed Back Stile","Extrusion","81.000","1","EA"
"DR-ASD-TUB2669-BLA-123","10"" Web Rail","Extrusion","26.875","1","EA"
"E-11437H-BLA-87","5"" Swing Door Top and Bottom Rail","Extrusion","26.875","1","EA"
"E-12154-BLA-87","ThinWall Door Stop","Extrusion","81.875; 35.750","3","EA"
"E-12303-BLA-123","Flat Stock Trim","Extrusion","48.000","1","EA"
"E-12306-123","ThinWall Starter Channel","Extrusion","84.500","2","EA"
"E-12382H-BLA-99","4"" Lock Stile","Extrusion","81.000","1","EA"
"AD-SWG-SHIM-FG","Extra-Wide Shim Jack","Hardware","","7","EA"
"DR-ASD-BUMBS35","Black Bumper","Hardware","","7","EA"
"DR-ASD-NUT6360","1/4-20 Threaded Rivnut Insert","Hardware","","7","EA"
"DR-ASD-TSA072B","3/8""-24 Tie-Rod","Hardware","","101","IN"
"DR-ASD-TUB013D","Lock Stile Pile","Hardware","","15","LF"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","335","IN"
"HW-HNG-MORH025","Door Hinge","Hardware","","2","EA"
"HW-N&B-FAS9152","3/8-16 Locking Nut","Hardware","","6","EA"
"HW-PLG-13MM","13mm Hole Plug","Hardware","","2","EA"
"HW-PLG-5MM","5mm Hole Plug","Hardware","","7","EA"
"GLASS-CLEAR 1/4"" TEMPERED GLASS","Clear 1/4"" Tempered Glass Glass","Glass","26.375"" x 65.500""","1","EA"
"3M-TAPE","Tape for Mullions","Fastener","","4","LF"
"AD-LUG-1.30-FG","Door Lug (1.30)","Fastener","","2","EA"
"AD-LUG-1.94-FG","Door Lug (1.94)","Fastener","","2","EA"
"AD-LUG-7.75-FG","Door Lug (7.75)","Fastener","","2","EA"
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Fastener","","6","EA"
