# Combined Purchase Summary
# Projects: Verify-05-Mixed-Single
# Generated: 2026-02-11

Part Number,Part Name,Type,Size (WxH),Pieces,Unit
"48347-MF-75","Sliding Door U-Channel","Extrusion","41.000","1","EA"
"48351-BLA-99","Dovetail","Extrusion","84.000","2","EA"
"48387","Header Jamb","Extrusion","77.000; 84.000","3","EA"
"48420-BLA-78","Whisker Strip","Extrusion","41.000","2","EA"
"48445-BLA-99","2"" Fixed Back Stile","Extrusion","82.750; 84.000; 40.000","4","EA"
"48446-BLA-102","4"" Web Rail Deep","Extrusion","41.000","1","EA"
"48447-BLA-99","Glass Stop (Face)","Extrusion","41.000; 84.000; 38.500; 65.000; 26.875","8","EA"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","41.000; 84.000; 38.500; 26.875; 65.000","8","EA"
"48450-BLA-102","4"" Web Rail Shallow","Extrusion","41.000; 38.500","1","EA"
"48457-BLA-99","2"" Lock Stile","Extrusion","82.750","1","EA"
"48468-BLA-99","4"" Fixed Back Stile","Extrusion","81.000","1","EA"
"48601-BLA-99","Sliding Door Seal","Extrusion","84.000","1","EA"
"DR-ASD-TUB2669-BLA-123","10"" Web Rail","Extrusion","26.875","1","EA"
"E-11437H-BLA-87","5"" Swing Door Top and Bottom Rail","Extrusion","26.875","1","EA"
"E-12154-BLA-87","ThinWall Door Stop","Extrusion","81.875; 35.750","3","EA"
"E-12303-BLA-123","Flat Stock Trim","Extrusion","38.500; 48.000","2","EA"
"E-12306-123","ThinWall Starter Channel","Extrusion","84.500","2","EA"
"E-12382H-BLA-99","4"" Lock Stile","Extrusion","81.000","1","EA"
"DR-ASD-TUBP020-72","3/8-24 Threaded Rod 35-1/16L","CutStock","41.000; 38.500","4","EA"
"AD-SWG-SHIM-FG","Extra-Wide Shim Jack","Hardware","","7","EA"
"DR-ASD-BUMBS35","Black Bumper","Hardware","","25","EA"
"DR-ASD-NUT6360","1/4-20 Threaded Rivnut Insert","Hardware","","7","EA"
"DR-ASD-OWL7181","Thumb Turn","Hardware","","1","EA"
"DR-ASD-OWL861Q-BLA","Thumb Turn Collar","Hardware","","1","EA"
"DR-ASD-TSA072B","3/8""-24 Tie-Rod","Hardware","","101","IN"
"DR-ASD-TUB-1424","Hook Bolt Lock Set","Hardware","","1","EA"
"DR-ASD-TUB013D","Lock Stile Pile","Hardware","","22","LF"
"DR-ASD-TUB1408-BLA","Sliding Door Lock Face Plate","Hardware","","1","EA"
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware","","8","LF"
"DR-ASD-ULI0088","1 Foam Double-Sided Tape","Hardware","","22","IN"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","1374","IN"
"HW-HNG-MORH025","Door Hinge","Hardware","","2","EA"
"HW-PLG-13MM","13mm Hole Plug","Hardware","","2","EA"
"HW-PLG-5MM","5mm Hole Plug","Hardware","","7","EA"
"HW-PLT-ALB0105","Albatur Suspension Plate","Hardware","","2","EA"
"HW-ROLL-BUL105","MR105 Mini V Wheel Assembly","Hardware","","2","EA"
"RM-PUCK-BRKT-L","Roller Guide Bracket 12g Steel","Hardware","","1","EA"
"GLASS-CLEAR","Clear Glass","Glass","36.000"" x 74.000""","1","EA"
"GLASS-CLEAR","Clear Glass","Glass","36.500"" x 74.000""","1","EA"
"GLASS-CLEAR 1/4"" TEMPERED GLASS","Clear 1/4"" Tempered Glass Glass","Glass","26.375"" x 65.500""","1","EA"
"3M-TAPE","Tape for Mullions","Fastener","","4","LF"
"AD-LUG-1.30-FG","Door Lug (1.30)","Fastener","","2","EA"
"AD-LUG-1.94-FG","Door Lug (1.94)","Fastener","","4","EA"
"AD-LUG-3.20-FG","Door Lug (3.20)","Fastener","","4","EA"
"AD-LUG-7.75-FG","Door Lug (7.75)","Fastener","","2","EA"
"door-box","Cardboard Box for Door","Packaging","","2","EA"
"DR-ASD-NUT1512","Hex Head Screw","Fastener","","2","EA"
"DR-ASD-NUT2310","1/4-20 x 3/4 Flat Head Screw","Fastener","","3","EA"
"DR-ASD-NUT2641","#10-24 x 3/8 Philips Pan Head","Fastener","","7.98","EA"
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Fastener","","14","EA"
"HW-N&B-FAS9152","3/8-16 Locking Nut","Fastener","","13.99","EA"
"HW-SCR-MCMA491","Press-Fit Stud","Fastener","","4","EA"
"HW-SCR-PHIL-10-24X2","Flat Head Phillips Screw","Fastener","","2","EA"
