=== PROJECT PRICING DEBUG ===
Project,"Verify-06-Mixed-Double"
Status,"STAGING"

=== PRICING MODE ===
Name,"Default (Hybrid)"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: Opening 1 ===
Finish Color,"Black (Anodized)"

--- Component: Active Sliding Door (Panel 1363) ---
Dimensions,"41"" W x 84"" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,BOM Qty,BOM Unit,Unit Cost,Finish Cost,Marked Up Cost,Non-Marked Up Cost,Total Cost,Method,Details,Finish Details
"48445-BLA-99","2"" Fixed Back Stile","Extrusion","99in","82.75in",1,,,$35.73,$14.41,$133.87,$5.86,$139.73,"extrusion_hybrid_split","Cut 82.75"" from 99"" stock (83.6% used) | Piece price: $35.73 | Used: 83.6% × $35.73 × 1 = $29.86 (gets markup) | Remaining: 16.4% × $35.73 × 1 = $5.86 (no markup) | Material total: $35.73","Black (Anodized) (full stock): 1.456' perim × 8.25' = 12.01 sq ft × $1.2/sq ft × 1 = $14.41"
"48457-BLA-99","2"" Lock Stile","Extrusion","99in","82.75in",1,,,$32.18,$0.00,$107.61,$5.28,$112.89,"extrusion_hybrid_split","Cut 82.75"" from 99"" stock (83.6% used) | Piece price: $32.18 | Used: 83.6% × $32.18 × 1 = $26.90 (gets markup) | Remaining: 16.4% × $32.18 × 1 = $5.28 (no markup) | Material total: $32.18","Black (Anodized): No perimeter defined, finish cost = $0.00"
"48450-BLA-102","4"" Web Rail Shallow","Extrusion","102in","41.00in",1,,,$20.82,$0.00,$83.30,$0.00,$83.30,"extrusion_hybrid_percentage","Cut 41.00"" from 102"" stock (40.2% used, <50%) | Piece price: $51.81 | Calc: 40.2% × $51.81 × 1 qty = $20.82","Black (Anodized): No perimeter defined, finish cost = $0.00"
"48446-BLA-102","4"" Web Rail Deep","Extrusion","102in","41.00in",1,,,$20.40,$7.52,$89.11,$0.00,$89.11,"extrusion_hybrid_percentage","Cut 41.00"" from 102"" stock (40.2% used, <50%) | Piece price: $50.74 | Calc: 40.2% × $50.74 × 1 qty = $20.40","Black (Anodized) (cut length): 1.835' perim × 3.42' = 6.27 sq ft × $1.2/sq ft × 1 = $7.52"
"48347-MF-144","Sliding Door U-Channel","Extrusion","144in","41.00in",1,,,$6.31,$0.00,$25.24,$0.00,$25.24,"extrusion_hybrid_percentage","Cut 41.00"" from 144"" stock (28.5% used, <50%) | Piece price: $22.16 | Calc: 28.5% × $22.16 × 1 qty = $6.31",""
"48447-BLA-99","Glass Stop (Face)","Extrusion","99in","41.00in",2,,,$1.26,$2.50,$12.58,$0.00,$12.58,"extrusion_hybrid_percentage","Cut 41.00"" from 99"" stock (41.4% used, <50%) | Piece price: $3.04 | Calc: 41.4% × $3.04 × 2 qty = $2.52","Black (Anodized) (cut length): 0.305' perim × 3.42' = 1.04 sq ft × $1.2/sq ft × 2 = $2.50"
"48447-BLA-99","Glass Stop (Face)","Extrusion","99in","84.00in",2,,,$3.04,$6.04,$26.69,$0.92,$27.61,"extrusion_hybrid_split","Cut 84.00"" from 99"" stock (84.8% used) | Piece price: $3.04 | Used: 84.8% × $3.04 × 2 = $5.16 (gets markup) | Remaining: 15.2% × $3.04 × 2 = $0.92 (no markup) | Material total: $6.08","Black (Anodized) (full stock): 0.305' perim × 8.25' = 2.52 sq ft × $1.2/sq ft × 2 = $6.04"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","102in","41.00in",2,,,$2.34,$4.46,$23.15,$0.00,$23.15,"extrusion_hybrid_percentage","Cut 41.00"" from 102"" stock (40.2% used, <50%) | Piece price: $5.81 | Calc: 40.2% × $5.81 × 2 qty = $4.67","Black (Anodized) (cut length): 0.544' perim × 3.42' = 1.86 sq ft × $1.2/sq ft × 2 = $4.46"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","102in","84.00in",2,,,$5.81,$11.10,$49.38,$2.05,$51.43,"extrusion_hybrid_split","Cut 84.00"" from 102"" stock (82.4% used) | Piece price: $5.81 | Used: 82.4% × $5.81 × 2 = $9.57 (gets markup) | Remaining: 17.6% × $5.81 × 2 = $2.05 (no markup) | Material total: $11.62","Black (Anodized) (full stock): 0.544' perim × 8.50' = 4.62 sq ft × $1.2/sq ft × 2 = $11.10"
