# Combined Purchase Summary
# Projects: Verify-06-Mixed-Double
# Generated: 2026-02-11

Part Number,Part Name,Type,Size (WxH),Pieces,Unit
"48347-MF-75","Sliding Door U-Channel","Extrusion","41.000","2","EA"
"48351-BLA-99","Dovetail","Extrusion","84.000","4","EA"
"48387","Header Jamb","Extrusion","77.000; 84.000","6","EA"
"48420-BLA-78","Whisker Strip","Extrusion","41.000","4","EA"
"48445-BLA-99","2"" Fixed Back Stile","Extrusion","82.750; 84.000; 40.000","7","EA"
"48446-BLA-102","4"" Web Rail Deep","Extrusion","41.000","1","EA"
"48447-BLA-99","Glass Stop (Face)","Extrusion","41.000; 84.000; 38.500; 65.000; 26.875","16","EA"
"48448-BLA-102","Glass Stop (Gutter)","Extrusion","41.000; 84.000; 38.500; 26.875; 65.000","16","EA"
"48450-BLA-102","4"" Web Rail Shallow","Extrusion","41.000; 38.500","2","EA"
"48457-BLA-99","2"" Lock Stile","Extrusion","82.750","2","EA"
"48468-BLA-99","4"" Fixed Back Stile","Extrusion","81.000","2","EA"
"48601-BLA-99","Sliding Door Seal","Extrusion","84.000","2","EA"
"DR-ASD-TUB2669-BLA-123","10"" Web Rail","Extrusion","26.875","1","EA"
"E-11437H-BLA-87","5"" Swing Door Top and Bottom Rail","Extrusion","26.875","1","EA"
"E-12154-BLA-87","ThinWall Door Stop","Extrusion","81.875; 35.750","5","EA"
"E-12303-BLA-123","Flat Stock Trim","Extrusion","38.500; 48.000","4","EA"
"E-12306-123","ThinWall Starter Channel","Extrusion","84.500","4","EA"
"E-12382H-BLA-99","4"" Lock Stile","Extrusion","81.000","2","EA"
"DR-ASD-TUBP020-72","3/8-24 Threaded Rod 35-1/16L","CutStock","41.000; 38.500","8","EA"
"AD-SWG-SHIM-FG","Extra-Wide Shim Jack","Hardware","","14","EA"
"DR-ASD-BUMBS35","Black Bumper","Hardware","","50","EA"
"DR-ASD-NUT6360","1/4-20 Threaded Rivnut Insert","Hardware","","14","EA"
"DR-ASD-OWL7181","Thumb Turn","Hardware","","2","EA"
"DR-ASD-OWL861Q-BLA","Thumb Turn Collar","Hardware","","2","EA"
"DR-ASD-TSA072B","3/8""-24 Tie-Rod","Hardware","","201","IN"
"DR-ASD-TUB-1424","Hook Bolt Lock Set","Hardware","","2","EA"
"DR-ASD-TUB013D","Lock Stile Pile","Hardware","","44","LF"
"DR-ASD-TUB1408-BLA","Sliding Door Lock Face Plate","Hardware","","2","EA"
"DR-ASD-TUBP938","Trim Sweep Pile","Hardware","","15","LF"
"DR-ASD-ULI0088","1 Foam Double-Sided Tape","Hardware","","44","IN"
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","2748","IN"
"HW-HNG-MORH025","Door Hinge","Hardware","","4","EA"
"HW-PLG-13MM","13mm Hole Plug","Hardware","","4","EA"
"HW-PLG-5MM","5mm Hole Plug","Hardware","","14","EA"
"HW-PLT-ALB0105","Albatur Suspension Plate","Hardware","","4","EA"
"HW-ROLL-BUL105","MR105 Mini V Wheel Assembly","Hardware","","4","EA"
"RM-PUCK-BRKT-L","Roller Guide Bracket 12g Steel","Hardware","","2","EA"
"GLASS-CLEAR","Clear Glass","Glass","36.000"" x 74.000""","2","EA"
"GLASS-CLEAR","Clear Glass","Glass","36.500"" x 74.000""","2","EA"
"GLASS-CLEAR 1/4"" TEMPERED GLASS","Clear 1/4"" Tempered Glass Glass","Glass","26.375"" x 65.500""","2","EA"
"3M-TAPE","Tape for Mullions","Fastener","","8","LF"
"AD-LUG-1.30-FG","Door Lug (1.30)","Fastener","","4","EA"
"AD-LUG-1.94-FG","Door Lug (1.94)","Fastener","","8","EA"
"AD-LUG-3.20-FG","Door Lug (3.20)","Fastener","","8","EA"
"AD-LUG-7.75-FG","Door Lug (7.75)","Fastener","","4","EA"
"door-box","Cardboard Box for Door","Packaging","","4","EA"
"DR-ASD-NUT1512","Hex Head Screw","Fastener","","4","EA"
"DR-ASD-NUT2310","1/4-20 x 3/4 Flat Head Screw","Fastener","","6","EA"
"DR-ASD-NUT2641","#10-24 x 3/8 Philips Pan Head","Fastener","","15.96","EA"
"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Fastener","","28","EA"
"HW-N&B-FAS9152","3/8-16 Locking Nut","Fastener","","27.98","EA"
"HW-SCR-MCMA491","Press-Fit Stud","Fastener","","8","EA"
"HW-SCR-PHIL-10-24X2","Flat Head Phillips Screw","Fastener","","4","EA"
