Test,Description,Status,Expected,Actual,Difference,Notes
Cross-Report [Verify-01-Single-A] - Opening Totals → Subtotal Base,Sum of opening base totals should equal project subtotal base,PASS,$438.69,$438.69,$0.00,
Cross-Report [Verify-01-Single-A] - Opening Totals → Subtotal Marked Up,Sum of opening marked-up totals should equal project subtotal marked up,PASS,$1625.01,$1625.01,$0.00,
Cross-Report [Verify-01-Single-A] - Pricing-Debug vs BOM Quantities,Pricing-debug BOM item quantities should match BOM CSV pieces (by base part number),INFO,35 parts matching,4 mismatches out of 35,4,48445-BLA-99: in pricing-debug (qty=1) but not in BOM; 48457-BLA-99: in pricing-debug (qty=1) but not in BOM; 48450-BLA-102: in pricing-debug (qty=2) but not in BOM; 48446-BLA-102: in pricing-debug (qty=1) but not in BOM; 48347-MF-144: in pricing-debug (qty=1) but not in BOM
Cross-Report [Verify-01-Single-A] - BOM vs Purchasing Summary,BOM CSV pieces should match Purchasing Summary pieces per part,PASS,36 parts matching,0 mismatches out of 36,0,
Cross-Report [Verify-01-Single-A] - Grand Total Consistency,Grand total should equal subtotal marked up + installation,PASS,$1625.01,$1625.01,$0.00,
Cross-Report [Verify-02-Single-B] - Opening Totals → Subtotal Base,Sum of opening base totals should equal project subtotal base,PASS,$593.33,$593.33,$0.00,
Cross-Report [Verify-02-Single-B] - Opening Totals → Subtotal Marked Up,Sum of opening marked-up totals should equal project subtotal marked up,PASS,$2243.03,$2243.03,$0.00,
Cross-Report [Verify-02-Single-B] - Pricing-Debug vs BOM Quantities,Pricing-debug BOM item quantities should match BOM CSV pieces (by base part number),INFO,25 parts matching,4 mismatches out of 25,4,48447-BLA-99: in pricing-debug (qty=4) but not in BOM; E-12382H-BLA-99: in pricing-debug (qty=1) but not in BOM; E-12154-BLA-87: in pricing-debug (qty=3) but not in BOM; E-12303-BLA-123: in pricing-debug (qty=2) but not in BOM; 48448-BLA-102: in pricing-debug (qty=4) but not in BOM
Cross-Report [Verify-02-Single-B] - BOM vs Purchasing Summary,BOM CSV pieces should match Purchasing Summary pieces per part,PASS,26 parts matching,0 mismatches out of 26,0,"GLASS-CLEAR 1/4"" TEMPERED GLASS - CLEAR 1/4"" TEMPERED GLASS: in BOM (1) but not in Purchasing; GLASS-CLEAR 1/4"" TEMPERED GLASS: in Purchasing (1) but not in BOM"
Cross-Report [Verify-02-Single-B] - Grand Total Consistency,Grand total should equal subtotal marked up + installation,PASS,$2243.03,$2243.03,$0.00,
Cross-Report [Verify-03-Double-A] - Opening Totals → Subtotal Base,Sum of opening base totals should equal project subtotal base,PASS,$877.38,$877.38,$0.00,
Cross-Report [Verify-03-Double-A] - Opening Totals → Subtotal Marked Up,Sum of opening marked-up totals should equal project subtotal marked up,PASS,$3250.02,$3250.02,$0.00,
Cross-Report [Verify-03-Double-A] - Pricing-Debug vs BOM Quantities,Pricing-debug BOM item quantities should match BOM CSV pieces (by base part number),INFO,35 parts matching,4 mismatches out of 35,4,48445-BLA-99: in pricing-debug (qty=2) but not in BOM; 48457-BLA-99: in pricing-debug (qty=2) but not in BOM; 48450-BLA-102: in pricing-debug (qty=4) but not in BOM; 48446-BLA-102: in pricing-debug (qty=2) but not in BOM; 48347-MF-144: in pricing-debug (qty=2) but not in BOM
Cross-Report [Verify-03-Double-A] - BOM vs Purchasing Summary,BOM CSV pieces should match Purchasing Summary pieces per part,PASS,36 parts matching,0 mismatches out of 36,0,
Cross-Report [Verify-03-Double-A] - Grand Total Consistency,Grand total should equal subtotal marked up + installation,PASS,$3250.02,$3250.02,$0.00,
Cross-Report [Verify-04-Double-B] - Opening Totals → Subtotal Base,Sum of opening base totals should equal project subtotal base,PASS,$1186.66,$1186.66,$0.00,
Cross-Report [Verify-04-Double-B] - Opening Totals → Subtotal Marked Up,Sum of opening marked-up totals should equal project subtotal marked up,PASS,$4486.06,$4486.06,$0.00,
Cross-Report [Verify-04-Double-B] - Pricing-Debug vs BOM Quantities,Pricing-debug BOM item quantities should match BOM CSV pieces (by base part number),INFO,25 parts matching,4 mismatches out of 25,4,48447-BLA-99: in pricing-debug (qty=8) but not in BOM; E-12382H-BLA-99: in pricing-debug (qty=2) but not in BOM; E-12154-BLA-87: in pricing-debug (qty=6) but not in BOM; E-12303-BLA-123: in pricing-debug (qty=4) but not in BOM; 48448-BLA-102: in pricing-debug (qty=8) but not in BOM
Cross-Report [Verify-04-Double-B] - BOM vs Purchasing Summary,BOM CSV pieces should match Purchasing Summary pieces per part,PASS,26 parts matching,0 mismatches out of 26,0,"GLASS-CLEAR 1/4"" TEMPERED GLASS - CLEAR 1/4"" TEMPERED GLASS: in BOM (2) but not in Purchasing; GLASS-CLEAR 1/4"" TEMPERED GLASS: in Purchasing (2) but not in BOM"
Cross-Report [Verify-04-Double-B] - Grand Total Consistency,Grand total should equal subtotal marked up + installation,PASS,$4486.06,$4486.06,$0.00,
Cross-Report [Verify-05-Mixed-Single] - Opening Totals → Subtotal Base,Sum of opening base totals should equal project subtotal base,PASS,$1032.02,$1032.02,$0.00,
Cross-Report [Verify-05-Mixed-Single] - Opening Totals → Subtotal Marked Up,Sum of opening marked-up totals should equal project subtotal marked up,PASS,$3868.04,$3868.04,$0.00,
Cross-Report [Verify-05-Mixed-Single] - Pricing-Debug vs BOM Quantities,Pricing-debug BOM item quantities should match BOM CSV pieces (by base part number),INFO,50 parts matching,6 mismatches out of 50,6,48445-BLA-99: in pricing-debug (qty=4) but not in BOM; 48457-BLA-99: in pricing-debug (qty=1) but not in BOM; 48450-BLA-102: in pricing-debug (qty=2) but not in BOM; 48446-BLA-102: in pricing-debug (qty=1) but not in BOM; 48347-MF-144: in pricing-debug (qty=1) but not in BOM
Cross-Report [Verify-05-Mixed-Single] - BOM vs Purchasing Summary,BOM CSV pieces should match Purchasing Summary pieces per part,PASS,52 parts matching,0 mismatches out of 52,0,"GLASS-CLEAR 1/4"" TEMPERED GLASS - CLEAR 1/4"" TEMPERED GLASS: in BOM (1) but not in Purchasing; GLASS-CLEAR 1/4"" TEMPERED GLASS: in Purchasing (1) but not in BOM"
Cross-Report [Verify-05-Mixed-Single] - Grand Total Consistency,Grand total should equal subtotal marked up + installation,PASS,$3868.04,$3868.04,$0.00,
Cross-Report [Verify-06-Mixed-Double] - Opening Totals → Subtotal Base,Sum of opening base totals should equal project subtotal base,PASS,$2064.04,$2064.04,$0.00,
Cross-Report [Verify-06-Mixed-Double] - Opening Totals → Subtotal Marked Up,Sum of opening marked-up totals should equal project subtotal marked up,PASS,$7736.08,$7736.08,$0.00,
Cross-Report [Verify-06-Mixed-Double] - Pricing-Debug vs BOM Quantities,Pricing-debug BOM item quantities should match BOM CSV pieces (by base part number),INFO,50 parts matching,6 mismatches out of 50,6,48445-BLA-99: in pricing-debug (qty=8) but not in BOM; 48457-BLA-99: in pricing-debug (qty=2) but not in BOM; 48450-BLA-102: in pricing-debug (qty=4) but not in BOM; 48446-BLA-102: in pricing-debug (qty=2) but not in BOM; 48347-MF-144: in pricing-debug (qty=2) but not in BOM
Cross-Report [Verify-06-Mixed-Double] - BOM vs Purchasing Summary,BOM CSV pieces should match Purchasing Summary pieces per part,PASS,52 parts matching,0 mismatches out of 52,0,"GLASS-CLEAR 1/4"" TEMPERED GLASS - CLEAR 1/4"" TEMPERED GLASS: in BOM (2) but not in Purchasing; GLASS-CLEAR 1/4"" TEMPERED GLASS: in Purchasing (2) but not in BOM"
Cross-Report [Verify-06-Mixed-Double] - Grand Total Consistency,Grand total should equal subtotal marked up + installation,PASS,$7736.08,$7736.08,$0.00,
Comparison A: 2x PresetA vs 2×(1x PresetA) - Grand Total,Grand total should scale by 2x,PASS,$3250.02,$3250.02,$0.00,
Comparison A: 2x PresetA vs 2×(1x PresetA) - Subtotal Marked Up,Marked up subtotal should scale by 2x,PASS,$3250.02,$3250.02,$0.00,
Comparison A: 2x PresetA vs 2×(1x PresetA) - Subtotal Base,Base subtotal should scale by 2x,PASS,$877.38,$877.38,$0.00,
Comparison A: 2x PresetA vs 2×(1x PresetA) - Unit Costs,Unit costs should be identical across single vs double,PASS,0 mismatches,0 mismatches out of 106 checked,0,
Comparison A: 2x PresetA vs 2×(1x PresetA) - BOM Pieces,BOM pieces should scale by 2x (yield optimization may differ),INFO,36 parts at 2x,4 differences out of 36,4,"Yield optimization: bin-packing 2x cuts together may use fewer stock pieces than 2 × single. Details: 48446-BLA-102: expected 2, got 1; DR-ASD-TUB013D: expected 16, got 15; DR-ASD-TUBP938: expected 16, got 15; FOAM-GASKET-ROLL: expected 2080, got 2079"
Comparison A: 2x PresetA vs 2×(1x PresetA) - Purchasing Pieces,Pieces should scale by 2x (yield optimization may differ for extrusions),INFO,36 parts at 2x,4 differences out of 36,4,"Yield optimization: bin-packing 2x cuts together may use fewer stock pieces than 2 × single. Details: 48446-BLA-102: expected 2, got 1; DR-ASD-TUB013D: expected 16, got 15; DR-ASD-TUBP938: expected 16, got 15; FOAM-GASKET-ROLL: expected 2080, got 2079"
Comparison B: 2x PresetB vs 2×(1x PresetB) - Grand Total,Grand total should scale by 2x,PASS,$4486.06,$4486.06,$0.00,
Comparison B: 2x PresetB vs 2×(1x PresetB) - Subtotal Marked Up,Marked up subtotal should scale by 2x,PASS,$4486.06,$4486.06,$0.00,
Comparison B: 2x PresetB vs 2×(1x PresetB) - Subtotal Base,Base subtotal should scale by 2x,PASS,$1186.66,$1186.66,$0.00,
Comparison B: 2x PresetB vs 2×(1x PresetB) - Unit Costs,Unit costs should be identical across single vs double,PASS,0 mismatches,0 mismatches out of 64 checked,0,
Comparison B: 2x PresetB vs 2×(1x PresetB) - BOM Pieces,BOM pieces should scale by 2x (yield optimization may differ),INFO,26 parts at 2x,7 differences out of 26,7,"Yield optimization: bin-packing 2x cuts together may use fewer stock pieces than 2 × single. Details: 48445-BLA-99: expected 6, got 5; DR-ASD-TUB2669-BLA-123: expected 2, got 1; E-11437H-BLA-87: expected 2, got 1; E-12154-BLA-87: expected 6, got 5; DR-ASD-TSA072B: expected 202, got 201"
Comparison B: 2x PresetB vs 2×(1x PresetB) - Purchasing Pieces,Pieces should scale by 2x (yield optimization may differ for extrusions),INFO,26 parts at 2x,7 differences out of 26,7,"Yield optimization: bin-packing 2x cuts together may use fewer stock pieces than 2 × single. Details: 48445-BLA-99: expected 6, got 5; DR-ASD-TUB2669-BLA-123: expected 2, got 1; E-11437H-BLA-87: expected 2, got 1; E-12154-BLA-87: expected 6, got 5; DR-ASD-TSA072B: expected 202, got 201..."
Comparison C: 2x Mixed vs 2×(1x Mixed) - Grand Total,Grand total should scale by 2x,PASS,$7736.08,$7736.08,$0.00,
Comparison C: 2x Mixed vs 2×(1x Mixed) - Subtotal Marked Up,Marked up subtotal should scale by 2x,PASS,$7736.08,$7736.08,$0.00,
Comparison C: 2x Mixed vs 2×(1x Mixed) - Subtotal Base,Base subtotal should scale by 2x,PASS,$2064.04,$2064.04,$0.00,
Comparison C: 2x Mixed vs 2×(1x Mixed) - Unit Costs,Unit costs should be identical across single vs double,PASS,0 mismatches,0 mismatches out of 170 checked,0,
Comparison C: 2x Mixed vs 2×(1x Mixed) - BOM Pieces,BOM pieces should scale by 2x (yield optimization may differ),INFO,52 parts at 2x,7 differences out of 52,7,"Yield optimization: bin-packing 2x cuts together may use fewer stock pieces than 2 × single. Details: 48445-BLA-99: expected 8, got 7; 48446-BLA-102: expected 2, got 1; DR-ASD-TUB2669-BLA-123: expected 2, got 1; E-11437H-BLA-87: expected 2, got 1; E-12154-BLA-87: expected 6, got 5"
Comparison C: 2x Mixed vs 2×(1x Mixed) - Purchasing Pieces,Pieces should scale by 2x (yield optimization may differ for extrusions),INFO,52 parts at 2x,7 differences out of 52,7,"Yield optimization: bin-packing 2x cuts together may use fewer stock pieces than 2 × single. Details: 48445-BLA-99: expected 8, got 7; 48446-BLA-102: expected 2, got 1; DR-ASD-TUB2669-BLA-123: expected 2, got 1; E-11437H-BLA-87: expected 2, got 1; E-12154-BLA-87: expected 6, got 5..."
Comparison D: Mixed(A+B) vs Single A + Single B - Grand Total,Grand total should equal A + B,PASS,$3868.04,$3868.04,$0.00,
Comparison D: Mixed(A+B) vs Single A + Single B - Subtotal Base,Base subtotal should equal A + B,PASS,$1032.02,$1032.02,$0.00,
Comparison D: Mixed(A+B) vs Single A + Single B - Subtotal Marked Up,Marked up subtotal should equal A + B,PASS,$3868.04,$3868.04,$0.00,
